respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
3cqrz04puijswpefooxn1to9,0.753634,30-49,HS or less,White,Male,Independent,Midwest,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,316,2025-07-10,2024-015
m3epg6pes7082w49szmeys92,1.920742,50-64,4-yr/post-graduate degree,White,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,417,2025-07-11,2024-015
5dl79ef9jj1puyn75el41sof,0.936158,30-49,Some college/2-yr degree,Hispanic,Male,Republican,Northeast,Very accurate,Very trustworthy,Not very important,Somewhat likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,134,2025-07-05,2024-015
992kvqpm1jh8604k45xaobhj,0.968594,50-64,4-yr/post-graduate degree,Other,Male,Republican,South,Not very accurate,Not at all trustworthy,Somewhat important,Very likely,Yes,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,400,2025-06-20,2024-015
ofpiwrayeyc54oyygrnj4lip,0.891503,50-64,4-yr/post-graduate degree,White,Male,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,No,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,278,2025-07-07,2024-015
vjtgfwejy7tmocbrmdxmkh7m,1.15294,65+,Some college/2-yr degree,White,Male,Democrat,West,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Very likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,74,2025-07-03,2024-015
znpythzck9omhd2dg9pjg6zl,1.770889,30-49,HS or less,Hispanic,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,309,2025-06-25,2024-015
9lzniqur55v5bnw2a3fu2o0n,0.623554,65+,HS or less,Black,Female,Republican,South,Somewhat accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,433,2025-06-19,2024-015
vk31ero5j9ljvqorbxtuziov,1.004462,65+,HS or less,White,Female,Democrat,West,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,438,2025-07-04,2024-015
zvqubbpp1b4x8beqc3a9j008,1.238622,18-29,HS or less,White,Female,Republican,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,357,2025-06-18,2024-015
gdxg5b9pahxz9z5t3wmy2pms,0.649163,30-49,4-yr/post-graduate degree,Hispanic,Male,Democrat,Northeast,Very accurate,Not very trustworthy,Very important,Not likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,353,2025-06-26,2024-015
wtfpwujbjij3ce1can69h39h,0.642403,50-64,4-yr/post-graduate degree,Black,Male,Republican,West,Not at all accurate,Somewhat trustworthy,Extremely important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,322,2025-06-24,2024-015
p9r234adjkxvhzn70itt34a4,0.597956,30-49,4-yr/post-graduate degree,White,Female,Democrat,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,255,2025-07-04,2024-015
cis1c2r6y2lrauzhfksj8m2n,0.897277,50-64,HS or less,White,Male,Republican,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,409,2025-06-28,2024-015
