respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
lpzl1sgem20gy18hk3lismb7,1.378105,50-64,Some college/2-yr degree,Hispanic,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Extremely important,Very likely,No,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,209,2025-07-07,2024-028
ehly02g11uggu8dimt904305,1.154441,18-29,Some college/2-yr degree,Hispanic,Female,Independent,Northeast,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,326,2025-06-26,2024-028
2mw09nho458hy2ltkbyu566t,0.718271,18-29,HS or less,White,Female,Republican,West,Somewhat accurate,Not very trustworthy,Very important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,528,2025-07-03,2024-028
2q8r8gi10763wx7m0i46pqn8,0.724141,30-49,Some college/2-yr degree,White,Other,Democrat,South,Somewhat accurate,Very trustworthy,Extremely important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,259,2025-06-28,2024-028
okji8w4lbsfa4wybbgf2mmw9,1.058487,50-64,Some college/2-yr degree,Black,Female,Democrat,Midwest,Somewhat accurate,Very trustworthy,Not very important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,334,2025-06-21,2024-028
1ye5qe7o6ggcph1a9xz9wyez,0.759297,50-64,HS or less,Hispanic,Female,Democrat,West,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,374,2025-06-28,2024-028
7mfavq1x1zpvv6iv34u0vnqy,0.415421,18-29,HS or less,White,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,Yes,TRUE,TRUE,FALSE,140,2025-07-04,2024-028
6mh7nzdu598mrs063ap0ul28,1.160175,65+,Some college/2-yr degree,White,Female,Democrat,West,Somewhat accurate,Not at all trustworthy,Somewhat important,Very likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,390,2025-07-10,2024-028
nf42b0bte74r1dqccfztkahp,0.88454,30-49,Some college/2-yr degree,Hispanic,Female,Republican,South,Somewhat accurate,Not very trustworthy,Not very important,Not likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,408,2025-06-30,2024-028
bm0qphyxxc95ajic6xd8iu41,0.664307,30-49,Some college/2-yr degree,White,Other,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,231,2025-06-29,2024-028
