respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
tceky9pqc6xm394lu9pl3tre,1.348737,50-64,4-yr/post-graduate degree,White,Female,Democrat,Midwest,Not very accurate,Very trustworthy,Not very important,Very likely,Maybe,Very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,377,2025-07-17,2024-029,Desktop
phsqe55lhnijuvt23anfxr45,0.909989,18-29,HS or less,Other,Male,Other or none,South,Not very accurate,Somewhat trustworthy,Extremely important,Very likely,No,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,474,2025-07-16,2024-029,Desktop
95rwj3ilpd4jf3pnhe2qcnd7,0.251352,50-64,4-yr/post-graduate degree,Other,Female,Other or none,Northeast,Not very accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,340,2025-07-17,2024-029,Desktop
g43kk7frayckli7srvs5a9y6,0.88332,50-64,Some college/2-yr degree,Hispanic,Male,Republican,South,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,324,2025-06-27,2024-029,Tablet
mm3cv6sk2bxwugq11954udw4,1.010652,50-64,HS or less,White,Male,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,429,2025-07-03,2024-029,Mobile
u85ktknisu95z8wb33w1mnrx,0.873928,18-29,HS or less,White,Female,Democrat,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,429,2025-07-16,2024-029,Desktop
bt9upgclk0h9ai40md8l8e9m,0.804026,30-49,Some college/2-yr degree,Other,Female,Republican,West,Not at all accurate,Not very trustworthy,Very important,Very likely,Maybe,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,146,2025-07-11,2024-029,Tablet
szyaso8se53aw3bmry46pgoq,1.153733,65+,HS or less,White,Male,Republican,South,Very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,TRUE,FALSE,71,2025-06-30,2024-029,Desktop
bqkmjeye8fgu7thvarujid68,0.765878,30-49,HS or less,White,Male,Republican,South,Not very accurate,Somewhat trustworthy,Not very important,Very likely,Yes,Not very likely,It would not interest me,Yes,FALSE,FALSE,TRUE,258,2025-07-16,2024-029,Mobile
c7xxhpth9i71i3mtln55g4hx,0.787097,50-64,Some college/2-yr degree,White,Male,Independent,West,Very accurate,Very trustworthy,Very important,Very likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,348,2025-07-12,2024-029,Tablet
