respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id
ufp1cijrc5tj8qfzqamqdp6v,0.72842,65+,4-yr/post-graduate degree,Black,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Very important,Not likely,Maybe,Very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,368,2025-07-11,2024-102
fc9jpghsobx8f3zyxcim84m7,1.169901,30-49,HS or less,White,Female,Other or none,Northeast,Very accurate,Not at all trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,TRUE,365,2025-06-19,2024-102
n2vmihdbv35mq3k9suvcz388,0.872749,30-49,HS or less,Other,Female,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,164,2025-06-19,2024-102
yq5s7f5l177jhpg7hbr7wu7o,0.876405,30-49,Some college/2-yr degree,White,Female,Republican,Midwest,Very accurate,Not very trustworthy,Very important,Very likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,409,2025-07-17,2024-102
2d8avgu9x2w9kwj1g33drv2w,0.827445,50-64,HS or less,Black,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,376,2025-06-27,2024-102
d0hw948eruufdyxhkbx30p1q,1.290085,30-49,4-yr/post-graduate degree,White,Female,Democrat,South,Not very accurate,Not at all trustworthy,Somewhat important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,365,2025-07-09,2024-102
tlkf051oa2ac8ub3y4ixswz8,0.955871,65+,Some college/2-yr degree,White,Male,Republican,Midwest,Very accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,230,2025-07-13,2024-102
n77wol6782ioa0slh1lloh7z,1.245919,65+,HS or less,White,Female,Independent,Northeast,Very accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,334,2025-06-19,2024-102
bk07tcffy7l5m7w3k5miu3s6,1.286419,30-49,4-yr/post-graduate degree,White,Male,Independent,South,Not very accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,325,2025-07-15,2024-102
say3rcdce2aqfzw0owlr1m7k,0.678515,50-64,4-yr/post-graduate degree,Hispanic,Male,Independent,South,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,146,2025-07-03,2024-102
