respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
01nkm1p2aekvc12iz3ccnoka,0.556695,65+,Some college/2-yr degree,Hispanic,Male,Democrat,Northeast,Somewhat accurate,Not very trustworthy,Extremely important,Somewhat likely,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,428,2025-07-14,2024-075
dbor9urxo63k8gf6bjg7v4e2,1.152518,30-49,Some college/2-yr degree,White,Male,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,271,2025-07-04,2024-075
jrxp4s73vxrqx8luonwu2mss,1.138922,65+,HS or less,Other,Male,Republican,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,325,2025-06-21,2024-075
yt9wc65964cp0ejboldt8cap,1.219539,50-64,HS or less,Other,Male,Other or none,South,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,442,2025-06-30,2024-075
dt8wpvh9hqvmixnaazvzy0kn,1.600271,30-49,Some college/2-yr degree,Hispanic,Male,Republican,West,Not very accurate,Somewhat trustworthy,Extremely important,Very likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,317,2025-06-27,2024-075
758slbpk21ogy2hguyyatdsy,1.088152,30-49,HS or less,White,Male,Republican,Northeast,Not very accurate,Somewhat trustworthy,Not at all important,Somewhat likely,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,314,2025-07-09,2024-075
66teebr2cj6sny668m8dwjh7,1.140306,18-29,Some college/2-yr degree,Black,Female,Republican,Midwest,Not very accurate,Not at all trustworthy,Very important,Very likely,Yes,Very likely,It would be one I would likely choose,Yes,TRUE,FALSE,FALSE,325,2025-06-24,2024-075
phax5szttqmqupplwf2cj201,1.27663,30-49,4-yr/post-graduate degree,White,Male,Other or none,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,380,2025-07-05,2024-075
7s5aynv3xbthrcufewjpikj4,0.894872,50-64,HS or less,White,Female,Republican,Midwest,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,Yes,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,370,2025-07-15,2024-075
tth4jjtrsx1rzxepi6us4549,1.201751,30-49,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Not very trustworthy,Not at all important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,303,2025-06-22,2024-075
