respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
u83uo0j9rawn41qak4ussjlc,1.513526,65+,HS or less,White,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,255,2025-07-13,2024-085
co5g9plqye1s97sdx5noyatu,1.488624,50-64,4-yr/post-graduate degree,White,Female,Republican,South,Somewhat accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,No,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,331,2025-06-27,2024-085
t8n6h9tmexvfj8kjl2zbjcdy,1.150409,50-64,Some college/2-yr degree,Hispanic,Male,Republican,South,Very accurate,Somewhat trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,423,2025-06-29,2024-085
yr8ecqg6nw8quib1vrhc5or7,0.841884,65+,4-yr/post-graduate degree,Hispanic,Female,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,289,2025-06-24,2024-085
utfvnckxr91cv3vdh7tnkrdy,1.319583,65+,HS or less,Other,Female,Republican,Northeast,Very accurate,Not very trustworthy,Extremely important,Very likely,No,Likely,It would not interest me,No,FALSE,FALSE,FALSE,435,2025-07-17,2024-085
6yqm0kaka6xxe5kf9g94q7ra,0.920065,65+,4-yr/post-graduate degree,White,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,432,2025-06-23,2024-085
r9dw1sq1hpjk2vh3l10zmwk0,1.29678,18-29,HS or less,White,Male,Democrat,Northeast,Very accurate,Somewhat trustworthy,Not at all important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,294,2025-07-11,2024-085
lt6q8pdyjoehaah6869dpd6y,0.952349,65+,4-yr/post-graduate degree,Other,Female,Republican,South,Somewhat accurate,Very trustworthy,Extremely important,Not likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,341,2025-07-07,2024-085
ezyaixb1b9d1s4k7vrgqqzm9,1.177565,65+,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,421,2025-06-30,2024-085
an1lz5c6tlp5cvulyq7a57uc,0.942757,30-49,Some college/2-yr degree,White,Female,Independent,Midwest,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,184,2025-06-25,2024-085
bjvqf1aab46z9n53kw1kox9a,0.850845,50-64,HS or less,White,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would become my preferred incentive offer,No,TRUE,FALSE,FALSE,257,2025-07-08,2024-085
9tfpt6v80ah9rie7uet1ezmp,1.026634,18-29,Some college/2-yr degree,Black,Female,Democrat,Midwest,Not at all accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,391,2025-06-28,2024-085
1d4lgg82wusyitbtwwhkatdg,0.758819,65+,Some college/2-yr degree,White,Male,Independent,Midwest,Not at all accurate,Not very trustworthy,Extremely important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,202,2025-07-02,2024-085
9dr7cznxcvbvchuc4s3k0exp,0.928884,50-64,4-yr/post-graduate degree,Hispanic,Male,Democrat,South,Not very accurate,Not very trustworthy,Very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,200,2025-06-29,2024-085
tb9h7afl051gzgephbp169ti,0.983054,30-49,Some college/2-yr degree,White,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,349,2025-07-03,2024-085
62h0ynh5p691r3m6ld0dt53g,0.258309,30-49,4-yr/post-graduate degree,Black,Male,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,TRUE,FALSE,FALSE,285,2025-07-07,2024-085
poox5fzsuplikmfdoqr4lh4s,0.647753,50-64,HS or less,Hispanic,Male,Republican,Midwest,Somewhat accurate,Somewhat trustworthy,Not very important,Very likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,377,2025-07-02,2024-085
ylmzu9o88vmjqfylykrusrlx,0.6586,30-49,HS or less,White,Female,Independent,South,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,Yes,Very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,340,2025-06-21,2024-085
3pwz698zolmqxx0dsohb6o3x,1.033517,50-64,HS or less,White,Female,Republican,Northeast,Somewhat accurate,Not at all trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,502,2025-06-28,2024-085
ztx8yseacrkpzff976qzt3ia,1.11625,30-49,Some college/2-yr degree,Black,Male,Republican,Midwest,Not at all accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,424,2025-07-09,2024-085
