respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
1xu0cnpca0qlu11wn99ym2vt,1.184495,30-49,HS or less,White,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,313,2025-07-02,2024-043
w83ehsrlpx4415nourkueewj,1.655328,30-49,HS or less,White,Male,Independent,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,316,2025-07-05,2024-043
elfkj0ld4255mrf1sp106j23,1.516693,30-49,HS or less,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Very likely,It would not interest me,No,FALSE,FALSE,FALSE,354,2025-07-17,2024-043
giiph4x8m8f3v9pgnphoi5b6,0.911377,30-49,Some college/2-yr degree,Hispanic,Male,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,TRUE,401,2025-06-20,2024-043
7y4grckusx74j426ig0g5x6d,0.486525,30-49,4-yr/post-graduate degree,White,Male,Republican,South,Not very accurate,Not at all trustworthy,Not very important,Very likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,423,2025-07-15,2024-043
8b5cso725tmiti8g7u5bz87w,0.581995,65+,4-yr/post-graduate degree,White,Male,Other or none,South,Somewhat accurate,Not very trustworthy,Not very important,Very likely,Maybe,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,444,2025-06-22,2024-043
5ngb4l1elxrxt928qid1tuwq,0.549585,65+,HS or less,White,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,No,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,325,2025-06-20,2024-043
p9rf00210mmo9ax11tyclqxf,1.156175,18-29,Some college/2-yr degree,Black,Male,Democrat,South,Somewhat accurate,Very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,356,2025-06-29,2024-043
abpl4ylj1y632ie5ch4iwajs,0.827807,18-29,HS or less,White,Male,Independent,South,Somewhat accurate,Not very trustworthy,Not very important,Not likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,367,2025-06-28,2024-043
1ro6ggryaymzyaq4mfxl5lub,1.563892,18-29,Some college/2-yr degree,Hispanic,Male,Independent,South,Not very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,343,2025-07-09,2024-043
ytwx4f5kww04lao3608jbrak,1.186731,50-64,4-yr/post-graduate degree,Black,Female,Republican,West,Very accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,385,2025-07-02,2024-043
dv8s0gjpuaudzxyfrhqyj80g,0.942935,30-49,HS or less,White,Female,Democrat,West,Not very accurate,Very trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,TRUE,216,2025-07-02,2024-043
xojb835s1ugycmac2vq5s1zh,1.346444,30-49,4-yr/post-graduate degree,Hispanic,Female,Independent,Midwest,Not very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,383,2025-06-28,2024-043
n299bmmifvx6p379f9dtk7un,0.523379,30-49,Some college/2-yr degree,Black,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,346,2025-06-27,2024-043
4pc2gpvytjokehnh80pplmdh,0.976848,65+,Some college/2-yr degree,White,Female,Democrat,Midwest,Not very accurate,Not very trustworthy,Not at all important,Not likely,Maybe,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,385,2025-06-20,2024-043
78jyp6dfl9p4h3q6z8egputf,0.250143,65+,4-yr/post-graduate degree,White,Male,Independent,West,Somewhat accurate,Not very trustworthy,Very important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,339,2025-07-15,2024-043
l0fj2kfsnq6pzs8uywe603p2,1.135706,50-64,HS or less,Hispanic,Male,Republican,South,Very accurate,Not very trustworthy,Very important,Somewhat likely,Yes,Very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,460,2025-06-24,2024-043
6pogq3119v2nmk38kyw6r7vm,1.706276,50-64,Some college/2-yr degree,White,Female,Independent,Northeast,Somewhat accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Yes,Not very likely,It would become my preferred incentive offer,No,FALSE,TRUE,FALSE,98,2025-06-25,2024-043
fqbh56iuzkk25pzx1xpb8km1,1.389566,65+,Some college/2-yr degree,White,Female,Independent,West,Not very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,331,2025-07-15,2024-043
0pcfuiciefwvi50kwwbs1d6l,0.594531,50-64,4-yr/post-graduate degree,White,Male,Other or none,South,Very accurate,Not at all trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,321,2025-07-17,2024-043
9d355hq6vk9y1lrd7vleqc6q,0.883419,18-29,4-yr/post-graduate degree,Other,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,361,2025-06-26,2024-043
qxmwwbyu8xazvxxfcf5iwrag,0.891297,18-29,HS or less,Hispanic,Female,Democrat,West,Not at all accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,379,2025-06-21,2024-043
4qeqi4b4a8me0avpsyhx6q3c,1.206796,50-64,4-yr/post-graduate degree,White,Female,Republican,South,Somewhat accurate,Very trustworthy,Very important,I would never participate in a phone survey,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,387,2025-06-25,2024-043
1hj69yjkn3r7r4cxbxyqi2d6,1.222974,30-49,4-yr/post-graduate degree,White,Male,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,388,2025-06-28,2024-043
k50qk7zc8rl2t0yfk24g6809,1.387496,30-49,HS or less,White,Female,Democrat,South,Somewhat accurate,Not at all trustworthy,Very important,Somewhat likely,No,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,355,2025-07-05,2024-043
d6iukltoq595nxvyni71bczl,0.571663,18-29,HS or less,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,324,2025-06-30,2024-043
r43t3q1k0iur772emiwgm243,0.755684,30-49,Some college/2-yr degree,Hispanic,Female,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Maybe,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,TRUE,FALSE,159,2025-06-29,2024-043
