respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
ou1u62sqjpajkdjqrqccjlvs,0.972788,18-29,HS or less,White,Male,Democrat,West,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would become my preferred incentive offer,No,TRUE,FALSE,FALSE,351,2025-07-03,2024-068
j2h75sa7y2qkm491nv80iaxq,0.89512100000000006,30-49,Some college/2-yr degree,Black,Female,Republican,Northeast,Not at all accurate,Very trustworthy,Somewhat important,Not likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,235,2025-07-10,2024-068
vhbb7c4wxuq75f80lcgdxmip,0.941179,65+,Some college/2-yr degree,Hispanic,Female,Independent,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,308,2025-07-10,2024-068
nyst1hrvwzbhrj3pno6f1qdd,0.936872,30-49,Some college/2-yr degree,White,Female,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,337,2025-07-02,2024-068
ymkjsedlcani1pg4n49mr7qr,1.237633,50-64,HS or less,Other,Male,Republican,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,269,2025-07-13,2024-068
qxkk4b02ggbnwf0b3u4y875x,1.099292,30-49,HS or less,White,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,387,2025-07-01,2024-068
lcps468r0ua2j5dstxazymh5,1.628962,18-29,4-yr/post-graduate degree,Other,Male,Republican,South,Very accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,415,2025-07-10,2024-068
e9niba8klt6ps5jinwhc4wuz,1.117001,30-49,HS or less,Hispanic,Female,Republican,South,Somewhat accurate,Somewhat trustworthy,Extremely important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,420,2025-06-17,2024-068
pm00i3pnehaz9n39i2hgnysd,1.161135,50-64,Some college/2-yr degree,Black,Female,Independent,South,Not at all accurate,Somewhat trustworthy,Not at all important,Very likely,Yes,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,439,2025-06-20,2024-068
t8jlsa2ihy3rdhmomtrrgtbl,1.148188,18-29,4-yr/post-graduate degree,White,Male,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,516,2025-06-27,2024-068
crm3g6akjbd9bil3kzvi0gn5,0.54863,30-49,Some college/2-yr degree,White,Female,Democrat,West,Not at all accurate,Very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,391,2025-07-07,2024-068
82vu39oxbl89rx7dtejd5c2i,0.736769,30-49,HS or less,White,Male,Republican,South,Not very accurate,Very trustworthy,Not very important,Very likely,Yes,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,445,2025-06-26,2024-068
fwtpwolhbslrasmdh3h5cdma,1.100143,18-29,HS or less,White,Male,Democrat,Midwest,Somewhat accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,268,2025-07-15,2024-068
iacrwg9sd6df8tu0mwy6d7mh,0.793134,18-29,Some college/2-yr degree,White,Male,Independent,West,Somewhat accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,412,2025-07-04,2024-068
q9qes4rk98qrm98bxzv9czp1,1.119692,50-64,HS or less,White,Female,Republican,Midwest,Not very accurate,Not very trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,317,2025-07-12,2024-068
xiluqx8t32dpi91w5ecrjmt6,1.030747,50-64,4-yr/post-graduate degree,Black,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,387,2025-07-03,2024-068
