respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id
zb25wfw4o54gmge3jnuiezc7,0.362916,50-64,Some college/2-yr degree,White,Male,Independent,South,Not very accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,294,2025-07-03,2024-109
748imz1wiff8juhbazu4ju3i,0.360091,30-49,Some college/2-yr degree,Other,Female,Democrat,Midwest,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,489,2025-06-28,2024-109
e74t8g4p46mdig6lgmlwt4iv,0.813797,30-49,HS or less,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,360,2025-06-19,2024-109
6xe25rlooi7oljw3frb96dlw,1.247934,30-49,4-yr/post-graduate degree,White,Male,Democrat,South,Not very accurate,Not at all trustworthy,Not at all important,Not likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,TRUE,375,2025-06-28,2024-109
etfmbk28c607x7koa0873bxk,0.936777,30-49,HS or less,Black,Female,Independent,Northeast,Not very accurate,Somewhat trustworthy,Not at all important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,457,2025-07-08,2024-109
9ljy38v42drhy3fwcf62wd9n,1.112188,18-29,HS or less,White,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,321,2025-07-15,2024-109
dg13vz9se22gee5q4uz1coth,1.010851,50-64,Some college/2-yr degree,White,Female,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,286,2025-06-29,2024-109
oxpag0qpaadp53bh95n80b1f,1.349672,65+,HS or less,White,Female,Republican,West,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,407,2025-07-07,2024-109
mk6dx8mqpoti6utiio69y749,1.173906,65+,HS or less,White,Female,Independent,South,Not at all accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,350,2025-07-04,2024-109
j01pajcedid0436klqyn4x7k,0.895339,30-49,HS or less,Black,Male,Democrat,South,Not at all accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,282,2025-07-11,2024-109
v18l39lytnocq0mcxe3kaztf,0.8446,30-49,Some college/2-yr degree,White,Male,Democrat,West,Not very accurate,Not very trustworthy,Somewhat important,Very likely,No,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,254,2025-07-15,2024-109
234zto7yw1tfvak88mtyhnvr,1.086599,50-64,HS or less,White,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Extremely important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,373,2025-07-12,2024-109
hs4u977bp2wfanlfrk1kw6os,1.309216,30-49,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,319,2025-07-05,2024-109
ghr7nvyo76sflsxdkn7hiqk1,0.931331,30-49,Some college/2-yr degree,Hispanic,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,337,2025-07-10,2024-109
cpv6ix7wh37nn93il3dx2288,1.016275,18-29,4-yr/post-graduate degree,White,Male,Independent,Northeast,Not very accurate,Not very trustworthy,Extremely important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,301,2025-06-18,2024-109
bwmhp8q9c8dv1u0uctgr3sgz,0.983196,30-49,Some college/2-yr degree,White,Female,Republican,Northeast,Not at all accurate,Somewhat trustworthy,Not very important,I would never participate in a phone survey,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,409,2025-07-09,2024-109
dkrf794yub7veoywloln4hm1,1.556791,30-49,HS or less,White,Female,Democrat,South,Not very accurate,Not very trustworthy,Not at all important,Not likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,253,2025-06-30,2024-109
7svp179kc5jvqs71p13fy5vz,1.127667,30-49,Some college/2-yr degree,White,Female,Independent,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,316,2025-07-12,2024-109
h9g7c8jntrunr8gyg2q0apoc,1.048021,65+,Some college/2-yr degree,Black,Male,Democrat,Northeast,Not very accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,302,2025-06-19,2024-109
fpjqv9d2jy961st3k0e9mnff,1.353855,30-49,Some college/2-yr degree,Hispanic,Female,Republican,South,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,387,2025-07-05,2024-109
tjqssyoq8y0l77ci4keh6bxv,1.027691,30-49,4-yr/post-graduate degree,White,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,344,2025-06-29,2024-109
