respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
nn80alnsdfzz7k38q7ba35cn,1.053464,50-64,4-yr/post-graduate degree,White,Female,Democrat,South,Not at all accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,401,2025-07-01,2024-033
pk6m63vc9p5nrd5ub3rynukn,1.104865,65+,4-yr/post-graduate degree,White,Female,Republican,South,Somewhat accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,430,2025-06-29,2024-033
h9ks8szquioc3y4lkg105ttk,1.13934,65+,Some college/2-yr degree,Hispanic,Female,Independent,South,Not very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,221,2025-07-01,2024-033
p9eip5gothkbpez8ydb06z80,0.743256,30-49,4-yr/post-graduate degree,White,Male,Democrat,Northeast,Not very accurate,Very trustworthy,Extremely important,Very likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,494,2025-07-16,2024-033
os7o09dh3cq3fd62qz23r1k8,1.126461,30-49,HS or less,White,Female,Republican,Northeast,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,129,2025-07-15,2024-033
amnsy4kbe5ukywxvfj49zjw2,0.59599,30-49,4-yr/post-graduate degree,Hispanic,Male,Independent,South,Not very accurate,Not at all trustworthy,Very important,Very likely,Yes,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,328,2025-06-17,2024-033
8z04m24zqc3pqzd1euwvuw2r,0.940061,30-49,Some college/2-yr degree,Black,Female,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Not at all important,Very likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,245,2025-06-23,2024-033
fcbjowqeq82s0fmmnlbb4gio,1.565229,50-64,Some college/2-yr degree,White,Male,Republican,West,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,401,2025-06-20,2024-033
zc1bm3r0uaekoklihr9qp96m,1.571604,18-29,Some college/2-yr degree,White,Male,Independent,Northeast,Somewhat accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,533,2025-06-27,2024-033
x653ag8z1qj0eqnezun2rr79,0.76468,30-49,HS or less,White,Female,Democrat,Northeast,Not very accurate,Not very trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,154,2025-06-23,2024-033
bk2s3ke0dtl8y79mcutkwjqd,1.114674,50-64,Some college/2-yr degree,White,Male,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,TRUE,312,2025-06-29,2024-033
qm2jmq2sobcutrx21cto907i,1.212201,50-64,HS or less,White,Female,Independent,Midwest,Very accurate,Not at all trustworthy,Not at all important,I would never participate in a phone survey,Maybe,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,470,2025-06-30,2024-033
he8idib31ejaerxgrnrtphif,1.26209,30-49,4-yr/post-graduate degree,Hispanic,Male,Republican,South,Very accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,393,2025-06-19,2024-033
0f8q2w7dj47072xsps5g4788,1.295241,30-49,4-yr/post-graduate degree,Black,Male,Republican,South,Somewhat accurate,Not very trustworthy,Extremely important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,250,2025-07-09,2024-033
20uku1uh24n1ip4bv3wkvwjd,0.731311,18-29,Some college/2-yr degree,Hispanic,Male,Republican,Midwest,Very accurate,Not very trustworthy,Somewhat important,Very likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,340,2025-06-29,2024-033
dux10bhrtuv007jtpesb229n,0.774257,30-49,4-yr/post-graduate degree,Hispanic,Female,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,351,2025-06-30,2024-033
5w9gf5bgv6wisqpnvjyhgbmw,0.753821,18-29,HS or less,White,Male,Other or none,Northeast,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,360,2025-07-06,2024-033
kfxbx0deu9wdy87guburr4g2,1.050702,18-29,Some college/2-yr degree,Other,Female,Republican,South,Not very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,331,2025-07-04,2024-033
v84aymijjqihbey8n9utf0a8,1.688127,30-49,4-yr/post-graduate degree,White,Female,Democrat,Northeast,Not at all accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,TRUE,FALSE,115,2025-07-03,2024-033
fk7kkf374zdkhwu0ca0r5nhk,1.013053,50-64,Some college/2-yr degree,White,Male,Democrat,West,Very accurate,Not very trustworthy,Extremely important,Not likely,No,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,348,2025-07-15,2024-033
507du17fid19gkludba306k9,1.286289,18-29,4-yr/post-graduate degree,Black,Male,Independent,South,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,94,2025-06-19,2024-033
wgtegndfdlcq2bqyy59vnfdp,0.518932,18-29,HS or less,Black,Female,Democrat,South,Somewhat accurate,Not at all trustworthy,Somewhat important,I would never participate in a phone survey,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,278,2025-07-17,2024-033
kbe823zteaazkjqfb421co6n,1.534463,50-64,HS or less,White,Male,Independent,South,Somewhat accurate,Somewhat trustworthy,Not very important,Very likely,No,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,442,2025-07-10,2024-033
oxjmwlqwn1blr5vcog9la4ui,1.316716,65+,Some college/2-yr degree,Other,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,186,2025-07-14,2024-033
f2udwwe56ddujf3m3tvfsk74,1.479369,50-64,4-yr/post-graduate degree,White,Female,Democrat,West,Not very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,346,2025-06-26,2024-033
uchgxffp2whbex4fdnayl49d,0.645308,30-49,4-yr/post-graduate degree,Hispanic,Male,Independent,Midwest,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,333,2025-07-07,2024-033
lw0ttwfckvrcxjjp03u7zxot,1.214721,30-49,Some college/2-yr degree,Black,Male,Independent,Northeast,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,106,2025-06-20,2024-033
ny2oztwfrjc02cvve51gflh9,1.032953,65+,Some college/2-yr degree,Other,Female,Independent,South,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,505,2025-07-08,2024-033
4dfhhskfknnpxgns7z2dc6pa,1.067146,65+,Some college/2-yr degree,White,Male,Republican,Northeast,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,317,2025-06-20,2024-033
6jvllynwr3ify4gdciqbl6sf,0.981264,30-49,Some college/2-yr degree,White,Male,Independent,Northeast,Not very accurate,Somewhat trustworthy,Not very important,Very likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,144,2025-07-08,2024-033
4mjr9zg5pzy59phwti6dg3dq,1.151668,50-64,Some college/2-yr degree,White,Female,Independent,South,Very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,No,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,264,2025-06-19,2024-033
plf2e75cl6pp60dj2c8i5d13,0.853539,30-49,4-yr/post-graduate degree,White,Female,Republican,West,Not very accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,398,2025-07-08,2024-033
drv64mqmphuqb136jo3520yh,1.448885,50-64,Some college/2-yr degree,White,Female,Independent,South,Not at all accurate,Not very trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,271,2025-07-03,2024-033
92cwoe421tfc4j9f3pha68zz,0.608358,65+,Some college/2-yr degree,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Not at all important,Very likely,Maybe,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,454,2025-07-17,2024-033
d6ep7temmdy7d4rz93wjutit,1.440989,65+,Some college/2-yr degree,White,Male,Democrat,West,Somewhat accurate,Not very trustworthy,Extremely important,Somewhat likely,No,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,388,2025-07-12,2024-033
5z6vkdx1rgs2duyy8jnqfinp,1.005525,30-49,Some college/2-yr degree,Other,Female,Republican,West,Not at all accurate,Not very trustworthy,Very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,382,2025-07-09,2024-033
f6w2rme84ycsusl9366nihxz,0.535892,30-49,4-yr/post-graduate degree,White,Female,Independent,South,Somewhat accurate,Not very trustworthy,Not very important,Not likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,TRUE,TRUE,FALSE,87,2025-06-20,2024-033
ae6p7ueazkf46gcgmzdi749b,0.555826,65+,Some college/2-yr degree,Black,Male,Independent,South,Very accurate,Somewhat trustworthy,Very important,Not likely,No,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,301,2025-07-16,2024-033
mqou63f9spzkxosgmyqomebg,0.961163,50-64,4-yr/post-graduate degree,White,Female,Democrat,South,Very accurate,Very trustworthy,Not at all important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,298,2025-06-29,2024-033
1e1wa87alv0yr6q3yswjydy8,1.425283,18-29,4-yr/post-graduate degree,Hispanic,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Very likely,It would not interest me,It depends on who is asking,TRUE,FALSE,FALSE,399,2025-07-12,2024-033
2zcr8rl6d0ge3ocdypoo9jmu,1.363959,50-64,HS or less,White,Female,Independent,Midwest,Very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,246,2025-06-30,2024-033
gd89n6qfwfadsvclzw8xwl7o,1.528528,30-49,HS or less,White,Female,Independent,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,420,2025-07-12,2024-033
