respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
i9gqj4v6ed8v7x3s8w3g6art,1.606898,30-49,HS or less,Hispanic,Female,Democrat,West,Not very accurate,Not at all trustworthy,Very important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,306,2025-07-17,2024-108,Tablet
stslpskorwft7x6vgk4yanjf,0.646676,50-64,4-yr/post-graduate degree,Black,Female,Republican,Northeast,Not at all accurate,Very trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,433,2025-07-17,2024-108,Tablet
aa32285vlubnkmmyii63taro,1.308524,65+,HS or less,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Not very important,Very likely,No,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,296,2025-07-17,2024-108,Tablet
wxhq01ndrziyvktneu63qaci,0.92159,65+,Some college/2-yr degree,White,Female,Republican,South,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,580,2025-06-19,2024-108,Mobile
1qm9tepbt6ujsudnkct78fco,1.068284,65+,4-yr/post-graduate degree,White,Male,Republican,West,Somewhat accurate,Very trustworthy,Very important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,342,2025-07-03,2024-108,Tablet
o53xepln8pmuwl72da7gozkn,1.437603,30-49,Some college/2-yr degree,White,Female,Democrat,Northeast,Not at all accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,286,2025-07-09,2024-108,Tablet
zokn1u9i5dj0sejdiksnslfa,0.575249,50-64,4-yr/post-graduate degree,White,Female,Democrat,South,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,No,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,585,2025-07-11,2024-108,Mobile
sixrkzttnswtsam19t5y54h1,0.836787,65+,Some college/2-yr degree,White,Male,Independent,West,Not at all accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would not interest me,No,FALSE,FALSE,FALSE,356,2025-07-13,2024-108,Mobile
vv73s93mbc11wbbrlmi92cb7,1.018048,30-49,Some college/2-yr degree,White,Male,Democrat,Midwest,Not at all accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,361,2025-07-16,2024-108,Tablet
u98jc0pxkg6f105wccm4chaa,1.176502,18-29,Some college/2-yr degree,White,Female,Republican,Northeast,Not at all accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,318,2025-07-05,2024-108,Mobile
n98cbl5s283gnucjut3jq8co,0.886891,18-29,Some college/2-yr degree,White,Female,Democrat,West,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,354,2025-07-09,2024-108,Desktop
e7evqz4p97xch70o2di8fzjv,1.122056,50-64,Some college/2-yr degree,White,Male,Independent,Midwest,Somewhat accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,375,2025-06-21,2024-108,Tablet
oo428i0lzum3ybqemhxq5x36,1.550621,65+,HS or less,Hispanic,Female,Republican,Northeast,Somewhat accurate,Very trustworthy,Very important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,125,2025-07-02,2024-108,Tablet
eifthvwbl0qraf8na3cck6lq,0.868829,30-49,Some college/2-yr degree,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,318,2025-07-01,2024-108,Mobile
vez725x2t3cowj4m4xukowy0,1.233611,18-29,4-yr/post-graduate degree,White,Female,Democrat,West,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,141,2025-07-16,2024-108,Tablet
pou6uliyf3nigeu4pkmdztwa,1.062479,50-64,4-yr/post-graduate degree,Hispanic,Female,Independent,West,Very accurate,Not very trustworthy,Not very important,Somewhat likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,383,2025-06-17,2024-108,Tablet
m6uts3bpvmdg9oful9zghw7r,0.893162,30-49,4-yr/post-graduate degree,Hispanic,Female,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,TRUE,TRUE,TRUE,134,2025-07-13,2024-108,Mobile
p6y3e32g8hy43cqyy9mxv8m5,1.216743,50-64,Some college/2-yr degree,Other,Male,Democrat,South,Not very accurate,Not very trustworthy,Not very important,Very likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,454,2025-07-05,2024-108,Tablet
vi3m4sv43mi7s6l98g5hp8fn,1.142509,65+,Some college/2-yr degree,Hispanic,Female,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,252,2025-07-03,2024-108,Desktop
mhcv0uaz0rzxddp8x4h0r3hy,0.823068,30-49,Some college/2-yr degree,White,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,269,2025-06-25,2024-108,Mobile
7nf9r787wh6oene0ioqtayl8,1.53321,65+,HS or less,White,Female,Democrat,West,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,418,2025-07-15,2024-108,Tablet
3s917o8o6r3xbdvo5vwuqh6n,1.201393,65+,Some college/2-yr degree,White,Male,Republican,South,Not at all accurate,Not very trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,186,2025-07-11,2024-108,Tablet
5rzbw7zor7mk603u13uoogzy,0.58880999999999994,18-29,HS or less,White,Female,Republican,South,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,267,2025-06-29,2024-108,Desktop
w4z222cja4c4cr9zlcg900el,0.982803,30-49,Some college/2-yr degree,Hispanic,Female,Democrat,South,Somewhat accurate,Not at all trustworthy,Very important,Very likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,262,2025-06-27,2024-108,Tablet
ct3qmjgea05n8o8u5gf4i5vf,1.649005,30-49,Some college/2-yr degree,Hispanic,Female,Independent,South,Not very accurate,Not at all trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,323,2025-07-01,2024-108,Mobile
zbj2iwobikodn7g2qulbo35p,0.573915,65+,4-yr/post-graduate degree,White,Male,Democrat,Midwest,Somewhat accurate,Very trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,No,FALSE,TRUE,FALSE,96,2025-07-06,2024-108,Mobile
l80p4pt1sc9pd5ygon8q79e6,1.110622,30-49,HS or less,Hispanic,Female,Independent,West,Somewhat accurate,Somewhat trustworthy,Not very important,Somewhat likely,No,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,360,2025-07-11,2024-108,Mobile
upbfdnpkhcfz9m3tkbkju13l,0.745502,30-49,4-yr/post-graduate degree,White,Female,Independent,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,481,2025-06-19,2024-108,Mobile
w8trvlbb34znpksbvehji2zr,1.072874,30-49,HS or less,White,Female,Other or none,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,221,2025-06-22,2024-108,Tablet
34x34k618oitvl9uzvwl7go1,1.089109,30-49,HS or less,White,Female,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,438,2025-07-06,2024-108,Tablet
10s7af9ivmomfis2noj698pu,1.02873,50-64,4-yr/post-graduate degree,Other,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Extremely important,Not likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,397,2025-07-03,2024-108,Tablet
