respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
l1ll2x8am91lpu9jcmlywthx,1.040097,30-49,4-yr/post-graduate degree,Hispanic,Male,Republican,West,Not at all accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,301,2025-07-07,2024-032,Mobile
0m3bj81972lfxmlvkz4wdg28,1.055767,50-64,4-yr/post-graduate degree,Hispanic,Female,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,541,2025-07-12,2024-032,Tablet
6i0mujf7lizoecd14aenhefu,1.430268,50-64,HS or less,White,Male,Independent,South,Not very accurate,Very trustworthy,Not very important,Somewhat likely,Yes,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,387,2025-07-06,2024-032,Mobile
i7bhwh1u9cf49xa2oe8ss031,0.970105,30-49,4-yr/post-graduate degree,White,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,167,2025-06-23,2024-032,Tablet
tycnex2ck6q74ezxgzc0qg2u,0.702527,30-49,4-yr/post-graduate degree,Black,Male,Republican,Midwest,Somewhat accurate,Not at all trustworthy,Very important,Very likely,Maybe,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,408,2025-07-09,2024-032,Tablet
35qq14lzadaw8sfzho78en1g,1.077211,65+,HS or less,White,Male,Independent,West,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,274,2025-06-17,2024-032,Desktop
tiuvql2j3ik5y48261gkr8kb,0.89466,30-49,Some college/2-yr degree,Hispanic,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,408,2025-06-19,2024-032,Mobile
iw8g3k3avx1jw4dqf13ohw7b,0.958132,50-64,HS or less,White,Female,Republican,Midwest,Very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,362,2025-07-13,2024-032,Mobile
25oa732nye8r0pm4arlxw3p8,1.448677,50-64,4-yr/post-graduate degree,White,Female,Democrat,West,Very accurate,Very trustworthy,Not very important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,374,2025-07-10,2024-032,Tablet
oka09fm8tb7dqpj9susmsbso,0.945676,18-29,4-yr/post-graduate degree,Black,Female,Republican,West,Very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,298,2025-07-11,2024-032,Desktop
qbk578ksu9chhltk6pnybqbq,1.177975,18-29,4-yr/post-graduate degree,White,Male,Democrat,West,Very accurate,Not at all trustworthy,Very important,I would never participate in a phone survey,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,271,2025-07-05,2024-032,Desktop
goccuu6nr2c74sj82fly15nm,0.816068,50-64,HS or less,White,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,277,2025-07-09,2024-032,Desktop
zkpcomutw4u9vr4agnhjfct4,0.836439,30-49,HS or less,Hispanic,Male,Republican,Midwest,Very accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,328,2025-06-17,2024-032,Mobile
srqrdbhs230web1w5su4xgrk,1.269323,30-49,Some college/2-yr degree,Other,Male,Independent,South,Very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,228,2025-07-13,2024-032,Desktop
os5gctihqcvugr19mafbe49i,1.349212,18-29,HS or less,White,Female,Republican,South,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,362,2025-07-15,2024-032,Desktop
xmwb1z5duswwkd849chi0tmv,0.901441,50-64,4-yr/post-graduate degree,Black,Female,Independent,Northeast,Not very accurate,Not very trustworthy,Not very important,Not likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,TRUE,310,2025-07-06,2024-032,Tablet
cgrvccpacdnsx9hxph0xf0oa,0.552324,50-64,Some college/2-yr degree,White,Female,Republican,South,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,217,2025-07-04,2024-032,Tablet
9y58idwa1d7hsqhn3yng78d9,1.299723,18-29,HS or less,White,Male,Republican,West,Somewhat accurate,Not very trustworthy,Very important,Not likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,FALSE,73,2025-07-11,2024-032,Mobile
7n3i7jbtwzs4fyaov9f40ky0,1.458069,65+,4-yr/post-graduate degree,Black,Female,Republican,West,Somewhat accurate,Not at all trustworthy,Not at all important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,290,2025-06-29,2024-032,Tablet
qg808a7bcj38xtczm2ohmanz,0.646558,18-29,Some college/2-yr degree,White,Male,Independent,West,Somewhat accurate,Not at all trustworthy,Not at all important,Not likely,Yes,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,419,2025-06-27,2024-032,Desktop
rjk2kv1mlg8py4eus13uux5u,0.903053,65+,4-yr/post-graduate degree,White,Female,Independent,Midwest,Somewhat accurate,Very trustworthy,Very important,Very likely,Maybe,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,533,2025-06-23,2024-032,Mobile
kdtddzbil89z2be2ef3ylrz5,0.530913,30-49,4-yr/post-graduate degree,Black,Female,Democrat,Northeast,Not very accurate,Not very trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,381,2025-07-03,2024-032,Tablet
p3xvprdoxpaumwzdm6uu8cz2,0.777729,50-64,4-yr/post-graduate degree,White,Female,Democrat,West,Not at all accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,393,2025-07-03,2024-032,Desktop
6zlj2dapmfguwa3yyqvcpq71,1.092154,50-64,Some college/2-yr degree,Hispanic,Female,Republican,West,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,361,2025-06-24,2024-032,Desktop
