respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
691wzuv3vu2bque7shl25r3n,0.987801,65+,4-yr/post-graduate degree,Hispanic,Male,Independent,Midwest,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,387,2025-07-05,2024-037,Mobile
eplvpnaxz6h99m7i5oxayzbv,1.288983,30-49,HS or less,White,Male,Other or none,Northeast,Very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,223,2025-06-27,2024-037,Tablet
ko2x54mq3aon4y6km3inagd3,1.019168,30-49,HS or less,White,Male,Republican,South,Somewhat accurate,Not very trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,314,2025-06-27,2024-037,Mobile
h20h8i76fpf8l141y6h3kydd,1.018422,50-64,4-yr/post-graduate degree,White,Male,Democrat,South,Not very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,382,2025-06-19,2024-037,Mobile
rmdqtvfe4hxakxvb3x8gylyt,0.839891,18-29,Some college/2-yr degree,White,Male,Independent,Northeast,Somewhat accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,122,2025-06-30,2024-037,Mobile
1sz4nj2yts0arni9n2r3wq0e,1.071948,50-64,HS or less,Black,Female,Republican,Northeast,Not very accurate,Not very trustworthy,Somewhat important,Not likely,No,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,326,2025-07-16,2024-037,Desktop
5rnt1oycc94ecam9mc83fs5e,1.253626,50-64,4-yr/post-graduate degree,Black,Male,Republican,West,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,339,2025-06-24,2024-037,Mobile
tc1ibnosug7yttkk1kuetkqv,1.478211,18-29,HS or less,Hispanic,Male,Democrat,Northeast,Not at all accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,500,2025-06-30,2024-037,Mobile
yb92in0d4ug2gwqaoqljtaxm,1.414753,18-29,4-yr/post-graduate degree,White,Female,Independent,South,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Likely,It would become my preferred incentive offer,No,FALSE,TRUE,FALSE,90,2025-06-29,2024-037,Mobile
r9expfk38oyab84cqitzixae,0.40441,18-29,Some college/2-yr degree,White,Male,Democrat,West,Somewhat accurate,Not very trustworthy,Not at all important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,338,2025-07-04,2024-037,Tablet
xlrjnxd5ialq2wr8o07xmehc,1.221009,18-29,4-yr/post-graduate degree,White,Female,Republican,West,Not at all accurate,Not very trustworthy,Not very important,Not likely,Maybe,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,248,2025-06-28,2024-037,Tablet
htnw509ej34wj5po340lqel3,0.84279,50-64,Some college/2-yr degree,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,408,2025-06-21,2024-037,Mobile
niz7lx1fp1vy2mifgh6rv00j,0.874251,18-29,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,367,2025-07-11,2024-037,Mobile
k6xqrr26z1npurici5187xot,1.449842,65+,HS or less,Other,Male,Independent,West,Very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,No,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,436,2025-06-27,2024-037,Desktop
7knru6pt5h1d8zq70e0e7e2a,1.162544,50-64,4-yr/post-graduate degree,Other,Female,Republican,South,Somewhat accurate,Not at all trustworthy,Not very important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,269,2025-07-07,2024-037,Tablet
xzew25kzvgwpe6wi6f463kmp,0.648099,18-29,4-yr/post-graduate degree,White,Female,Democrat,South,Somewhat accurate,Very trustworthy,Not very important,Very likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,TRUE,TRUE,FALSE,114,2025-06-29,2024-037,Tablet
5jqv07e766qmtpfmjii0i393,0.943739,30-49,HS or less,White,Female,Republican,West,Somewhat accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,392,2025-06-22,2024-037,Mobile
n56jp3gmr0qntljvi25d4w4r,0.939778,50-64,Some college/2-yr degree,White,Female,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Not very important,Very likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,384,2025-07-12,2024-037,Desktop
edx9cy2t6rf9ypgv3ytjp5hm,1.061845,18-29,Some college/2-yr degree,Hispanic,Female,Republican,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,218,2025-07-05,2024-037,Tablet
zn4ygox88ipf9ndrqqsw6gk8,0.581547,30-49,Some college/2-yr degree,White,Male,Independent,West,Not very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,530,2025-07-14,2024-037,Desktop
tqml3ykm3upvmhxtsf5j6id8,1.633987,65+,Some college/2-yr degree,Other,Male,Democrat,South,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,273,2025-06-20,2024-037,Mobile
3ax77306sgfqq0cebny7b1hz,0.818302,30-49,4-yr/post-graduate degree,Other,Female,Republican,West,Very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,326,2025-06-27,2024-037,Tablet
w3py5e6lsepryjbzyevaohw8,0.766653,18-29,HS or less,White,Female,Republican,Midwest,Very accurate,Not at all trustworthy,Somewhat important,Not likely,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,286,2025-06-19,2024-037,Mobile
tkxr8wszaybftmd3kx236ie3,0.66708,50-64,HS or less,White,Female,Democrat,South,Somewhat accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Yes,Not at all likely,It would not interest me,No,FALSE,FALSE,FALSE,248,2025-07-01,2024-037,Desktop
lbzfkkigi2sdyamg5urypmfu,1.41319,50-64,Some college/2-yr degree,Black,Male,Independent,South,Not very accurate,Very trustworthy,Not at all important,Not likely,No,Very likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,246,2025-06-21,2024-037,Desktop
5h8gg6khl17v3hp2mnh4mnkj,0.621655,65+,Some college/2-yr degree,Other,Female,Independent,West,Somewhat accurate,Not at all trustworthy,Somewhat important,I would never participate in a phone survey,No,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,FALSE,139,2025-06-25,2024-037,Desktop
hfq4bvdp52cf3sphqprl12v0,0.78296,30-49,Some college/2-yr degree,Hispanic,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,No,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,359,2025-06-21,2024-037,Tablet
cbxw194araddj8pbnc4j47wk,0.971785,50-64,Some college/2-yr degree,White,Female,Independent,West,Somewhat accurate,Not at all trustworthy,Very important,Somewhat likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,338,2025-07-07,2024-037,Desktop
