respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
mzaeb65d36fh3qzi6a02v5uz,0.46224,50-64,Some college/2-yr degree,White,Male,Republican,Midwest,Not very accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,101,2025-06-17,2024-087
4x0vxyi6amhul9sq9cd6iqwp,0.411956,30-49,Some college/2-yr degree,White,Male,Independent,West,Not very accurate,Not at all trustworthy,Not very important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,483,2025-07-12,2024-087
3rd1c9u5t9ir0czas6xp5xke,0.849375,50-64,HS or less,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,TRUE,357,2025-07-03,2024-087
cot60lifabeyifnmjstzm7qo,1.412102,18-29,Some college/2-yr degree,Hispanic,Male,Independent,West,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,513,2025-07-03,2024-087
d7nwf0z48kukooiptc44qfz7,0.66351,18-29,HS or less,White,Male,Democrat,South,Not at all accurate,Not very trustworthy,Not very important,Somewhat likely,No,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,FALSE,145,2025-07-11,2024-087
n12otnnn1zu31dclqjegohr8,1.510012,50-64,HS or less,White,Male,Republican,South,Not at all accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,235,2025-06-22,2024-087
w1a4ilyp61g77fxgs6i9bgan,1.116665,30-49,Some college/2-yr degree,Black,Male,Independent,Northeast,Very accurate,Not at all trustworthy,Extremely important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,451,2025-06-19,2024-087
dwfrj1mw7tlelxqa140igg5e,1.509575,65+,Some college/2-yr degree,Hispanic,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,200,2025-06-25,2024-087
y3h467x9sxq7huqz3c8wzy7a,1.362017,30-49,Some college/2-yr degree,White,Male,Independent,South,Somewhat accurate,Not very trustworthy,Very important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,301,2025-07-04,2024-087
c9x1ts9n6jse67yvd80sq3gp,0.627753,65+,4-yr/post-graduate degree,Black,Other,Independent,South,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,147,2025-07-08,2024-087
f2hrn1y3yvgxbtpk38lmymau,0.430042,18-29,Some college/2-yr degree,White,Male,Democrat,West,Somewhat accurate,Not at all trustworthy,Not at all important,Very likely,Maybe,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,276,2025-07-10,2024-087
bcxvql1s9xbkytc05aympc7i,1.165149,50-64,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Very important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,323,2025-06-28,2024-087
1penoeatx46m9i53k2f7lo4e,0.930183,65+,4-yr/post-graduate degree,White,Female,Republican,Midwest,Very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,115,2025-07-08,2024-087
40apz2el788xqbc6mxypjp0b,1.270891,65+,Some college/2-yr degree,Other,Female,Independent,West,Somewhat accurate,Very trustworthy,Somewhat important,Very likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,501,2025-06-20,2024-087
lfztq2pl9vnm33zqwlr8cma7,1.044816,50-64,HS or less,White,Male,Democrat,West,Somewhat accurate,Not very trustworthy,Extremely important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,349,2025-07-15,2024-087
5744zodoc4ohqs1zjdyhgehg,1.073226,50-64,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Very trustworthy,Not very important,Somewhat likely,Maybe,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,315,2025-06-27,2024-087
89lmyc6fb6y68aexfu55nrt4,1.066319,50-64,4-yr/post-graduate degree,White,Female,Democrat,West,Not at all accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,449,2025-07-10,2024-087
0gjrxqqg6mpgg1yyzd95euz5,1.346738,65+,Some college/2-yr degree,Hispanic,Female,Republican,South,Not very accurate,Not very trustworthy,Very important,Somewhat likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,251,2025-06-19,2024-087
w7m1pldzgolp8mctvsuw4xs0,1.047768,50-64,Some college/2-yr degree,White,Male,Democrat,West,Not very accurate,Not very trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,TRUE,279,2025-07-06,2024-087
pcyvayeeiqj371xmm2hkak53,1.257131,30-49,HS or less,Other,Female,Democrat,South,Very accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,374,2025-07-04,2024-087
rw07nw92cptthb16c7y5w1s0,0.941577,50-64,4-yr/post-graduate degree,White,Female,Independent,South,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,417,2025-06-17,2024-087
359gsyubqektjxb0aghbuj0i,0.913473,30-49,HS or less,Other,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,354,2025-07-15,2024-087
uhp9fd6me4iw6u5pvmrnwbct,0.705855,50-64,4-yr/post-graduate degree,White,Other,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,290,2025-07-05,2024-087
k3csge9v5208hovah1m2viyb,1.021959,30-49,4-yr/post-graduate degree,White,Male,Democrat,Northeast,Somewhat accurate,Very trustworthy,Somewhat important,Not likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,393,2025-07-15,2024-087
2fe6lbh1v5q2kljh8aw7sfba,1.573793,18-29,4-yr/post-graduate degree,Other,Male,Democrat,West,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,No,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,414,2025-06-22,2024-087
216k2fglswyk8ufo055wqt7b,0.734987,18-29,HS or less,White,Male,Independent,Northeast,Very accurate,Very trustworthy,Not very important,Very likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,319,2025-07-08,2024-087
rvq5478oevrm4yllglmyvzi5,1.109309,18-29,Some college/2-yr degree,White,Male,Democrat,South,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,404,2025-06-17,2024-087
c4k20ft1ixdtabe9k51sstx0,0.76853,65+,Some college/2-yr degree,White,Male,Democrat,South,Not very accurate,Very trustworthy,Somewhat important,Not likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,320,2025-07-01,2024-087
t4vooi5eozxvbhav9bfjmvzd,1.032602,18-29,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,375,2025-06-23,2024-087
puwfexcmgf1vgzr7k60vgdvy,0.766722,50-64,HS or less,White,Male,Democrat,Midwest,Not very accurate,Not at all trustworthy,Not very important,Somewhat likely,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,365,2025-07-01,2024-087
4i3lgcnutvid7jokf33xyq3p,1.470871,50-64,4-yr/post-graduate degree,White,Female,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,374,2025-07-17,2024-087
uq0fd8audgcyqzeyg4168nkv,1.201266,65+,4-yr/post-graduate degree,White,Male,Independent,South,Somewhat accurate,Not at all trustworthy,Very important,I would never participate in a phone survey,No,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,350,2025-06-28,2024-087
h4w1jz0dggu1y94mqjju74je,1.369716,65+,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,No,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,487,2025-06-25,2024-087
i48gicay990uz51cs6c7oliv,0.854843,50-64,Some college/2-yr degree,Black,Female,Republican,Midwest,Not very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,394,2025-07-07,2024-087
79eddyj9b7on5j8d0nun6j8o,1.004976,65+,HS or less,Black,Female,Republican,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,TRUE,341,2025-07-03,2024-087
qvljc8ckq60ebrql7sjss68n,1.002362,65+,HS or less,White,Male,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,386,2025-06-23,2024-087
80fgzp8qq4ah3a747xpzbj44,1.089273,50-64,HS or less,White,Female,Independent,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,187,2025-06-21,2024-087
g1e5vofte1h3h7qirgul335o,0.812365,50-64,HS or less,White,Female,Democrat,South,Very accurate,Not very trustworthy,Not very important,Very likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,360,2025-06-27,2024-087
5sxzwyq68fx2l3ypo2pw9pof,0.946805,65+,Some college/2-yr degree,White,Female,Democrat,West,Not very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,TRUE,416,2025-06-28,2024-087
gnzgnj83onhc22derb9ggcfr,1.401098,30-49,HS or less,Hispanic,Female,Republican,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Likely,It would not interest me,No,FALSE,FALSE,FALSE,314,2025-07-10,2024-087
38u5oxvich9g0wc53sna00fu,0.922474,65+,Some college/2-yr degree,White,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,485,2025-06-17,2024-087
pl68anl8qe1mi2s19gx3dsda,0.95148,30-49,Some college/2-yr degree,White,Male,Democrat,West,Not very accurate,Not very trustworthy,Very important,Very likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,222,2025-06-19,2024-087
1243bo2sq55mwows1a258w1f,1.079684,65+,4-yr/post-graduate degree,White,Female,Republican,Midwest,Somewhat accurate,Not at all trustworthy,Very important,Very likely,Yes,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,371,2025-06-25,2024-087
49q1cftoxlou2qzaovfc6q52,0.216371,50-64,Some college/2-yr degree,Black,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,244,2025-06-29,2024-087
nlo0cl7u3pysaatdsi4kouyc,1.253362,65+,Some college/2-yr degree,White,Male,Democrat,Northeast,Not very accurate,Very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,400,2025-06-30,2024-087
84778mdgwdzq7zjr787x6voe,0.888177,18-29,HS or less,Black,Female,Independent,Midwest,Very accurate,Not very trustworthy,Not at all important,Somewhat likely,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,361,2025-07-15,2024-087
slib0d0fscx0vdz4ct0ki8y1,0.832149,18-29,Some college/2-yr degree,White,Male,Republican,South,Very accurate,Not very trustworthy,Very important,Somewhat likely,No,Likely,It would be one I would likely choose,No,TRUE,TRUE,FALSE,132,2025-07-10,2024-087
vrtxpo1n2di7chsb8jxszi4j,0.780686,50-64,Some college/2-yr degree,White,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,327,2025-06-22,2024-087
z4t1tfj1oeiria7o4c0mvle2,1.013133,18-29,Some college/2-yr degree,White,Male,Republican,Midwest,Somewhat accurate,Not at all trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,374,2025-06-17,2024-087
gxml8o1ynuld7233ek1scec7,1.09444,65+,Some college/2-yr degree,White,Female,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,TRUE,TRUE,FALSE,143,2025-07-09,2024-087
jnifkmbulfnhykpgqzpcoowk,0.75158,30-49,4-yr/post-graduate degree,White,Male,Independent,Midwest,Very accurate,Not very trustworthy,Not very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,TRUE,454,2025-07-16,2024-087
3xsblc05q4xw0189olnalflj,1.061713,50-64,Some college/2-yr degree,Black,Female,Democrat,Midwest,Not very accurate,Not very trustworthy,Very important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,386,2025-06-17,2024-087
ett4pd094misy3uxj1996lrz,1.44293,30-49,Some college/2-yr degree,White,Male,Democrat,South,Not at all accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,314,2025-06-19,2024-087
8to9pmdxjcddhsm6txxcv75w,0.991431,30-49,Some college/2-yr degree,Other,Male,Republican,West,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,534,2025-07-01,2024-087
t5z7vw24aegyohhs2hu8iw7o,1.018415,30-49,HS or less,White,Female,Democrat,West,Somewhat accurate,Not very trustworthy,Very important,Very likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,472,2025-07-12,2024-087
s8twuc3f1k2mkyn1e8riwhsm,0.76246,50-64,Some college/2-yr degree,Black,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,No,TRUE,FALSE,FALSE,342,2025-07-05,2024-087
2l6w5mzbg7fnsl1eif9cdc0s,1.494194,50-64,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,348,2025-07-01,2024-087
8345n7s573k5baple9ylyuog,0.746694,50-64,Some college/2-yr degree,White,Female,Democrat,Midwest,Not at all accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,TRUE,TRUE,FALSE,104,2025-07-15,2024-087
d3tnc22ci4fyqy81ga21qyol,0.700882,50-64,Some college/2-yr degree,Other,Male,Republican,Northeast,Very accurate,Somewhat trustworthy,Not very important,Very likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,641,2025-07-06,2024-087
044s8rtrr4hngh3l5zgzx1ze,0.978211,18-29,4-yr/post-graduate degree,White,Other,Independent,South,Very accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,426,2025-07-04,2024-087
umyo4iwesx38m5k4guxyxi8l,1.090583,30-49,Some college/2-yr degree,White,Female,Republican,Northeast,Not at all accurate,Somewhat trustworthy,Not at all important,Very likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,330,2025-07-06,2024-087
bcsk818udtfvlz4wk2o625zw,0.618697,65+,Some college/2-yr degree,Hispanic,Male,Democrat,West,Not at all accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,387,2025-06-22,2024-087
nfu2u2b8lfivh1hc1tx8bhit,1.101516,50-64,Some college/2-yr degree,White,Male,Democrat,Northeast,Not at all accurate,Very trustworthy,Very important,I would never participate in a phone survey,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,117,2025-07-16,2024-087
4xxlztqu4dnt6735mcmj1g5b,1.712488,18-29,4-yr/post-graduate degree,White,Female,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,497,2025-07-02,2024-087
frzrq2u4r5p86bunfe3aci1q,1.123139,65+,4-yr/post-graduate degree,Hispanic,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,396,2025-07-08,2024-087
9768gz031v0b50jweo8rb6wi,0.694807,18-29,4-yr/post-graduate degree,White,Male,Democrat,Northeast,Somewhat accurate,Very trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,310,2025-06-23,2024-087
px8ilw1qb6l5mczsp7kgxn6f,0.292408,18-29,4-yr/post-graduate degree,Black,Male,Independent,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,286,2025-07-03,2024-087
ax3chchhgpyiw98voh28bxmk,0.915631,65+,4-yr/post-graduate degree,Other,Male,Independent,West,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,359,2025-06-27,2024-087
pp027a5t3atvw3jvxrfdjpni,1.388666,50-64,HS or less,Black,Female,Republican,South,Not very accurate,Somewhat trustworthy,Not very important,Very likely,Yes,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,421,2025-07-10,2024-087
