respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
uz34sm36xbpsa3y7d7x0197o,0.958715,30-49,Some college/2-yr degree,Black,Female,Republican,West,Not at all accurate,Very trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,TRUE,202,2025-06-27,2024-070,Mobile
flhjp3n2o57vhfbudt338jae,1.053981,18-29,HS or less,Black,Male,Independent,South,Somewhat accurate,Very trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Very likely,It would not interest me,It depends on who is asking,TRUE,FALSE,FALSE,475,2025-07-08,2024-070,Tablet
bnzjzfotgsmq7p5131772ib7,1.409431,30-49,HS or less,White,Male,Republican,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,322,2025-07-03,2024-070,Desktop
h67brgxyuoaz59hrbort35zz,0.744194,65+,HS or less,Hispanic,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,TRUE,FALSE,147,2025-06-22,2024-070,Mobile
0m1f9ujo4emn2rk7swfuy2bp,0.945988,50-64,Some college/2-yr degree,White,Male,Republican,Midwest,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,167,2025-07-17,2024-070,Desktop
gmrdq2xwe4uac2t4ei966s3f,0.82774,30-49,Some college/2-yr degree,Other,Male,Democrat,West,Very accurate,Not very trustworthy,Very important,Somewhat likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,256,2025-07-15,2024-070,Desktop
nkeyr4tzsaf6epe1v953xcrb,1.188591,50-64,4-yr/post-graduate degree,Other,Female,Democrat,West,Somewhat accurate,Somewhat trustworthy,Not very important,Very likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,300,2025-07-01,2024-070,Tablet
mqk756n20zrc75nbvwsuw8rs,1.539416,65+,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Maybe,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,352,2025-06-19,2024-070,Desktop
1fm0kfay5ci2umvflwk3d7w1,1.144222,18-29,Some college/2-yr degree,White,Male,Other or none,Northeast,Very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,476,2025-07-16,2024-070,Tablet
m0f0hkbcle0ub36wezhk19hy,1.029913,18-29,Some college/2-yr degree,Hispanic,Female,Republican,Northeast,Somewhat accurate,Very trustworthy,Very important,Not likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,320,2025-07-10,2024-070,Desktop
piw27k60es07c20bxdej45xu,1.3207,65+,4-yr/post-graduate degree,White,Male,Independent,West,Not very accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,378,2025-06-18,2024-070,Mobile
ufd697nxl41d7kgctg96hgp7,0.76945,30-49,HS or less,Black,Female,Other or none,Midwest,Not very accurate,Not at all trustworthy,Not at all important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,432,2025-06-28,2024-070,Desktop
px4ypi55zvl9e75d1e3u4d67,1.001126,30-49,Some college/2-yr degree,Black,Male,Independent,West,Somewhat accurate,Very trustworthy,Very important,Very likely,Yes,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,291,2025-07-14,2024-070,Tablet
qjg1ymgllod616tz2eycrrs4,1.033102,30-49,HS or less,White,Male,Democrat,Midwest,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,338,2025-07-01,2024-070,Mobile
s0jecnee9g2kqqqrbtbiour0,0.832896,30-49,Some college/2-yr degree,Hispanic,Male,Republican,South,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,321,2025-07-14,2024-070,Tablet
meaoel739wki1jxqnp59jygn,1.260623,30-49,HS or less,White,Female,Independent,West,Not very accurate,Not very trustworthy,Very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,370,2025-06-20,2024-070,Tablet
