respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
8rm7ndliw91qvo98vzo9x6nv,1.204933,65+,Some college/2-yr degree,White,Female,Republican,Midwest,Somewhat accurate,Not at all trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,560,2025-07-05,2024-106
tx0kmanmjb8h8x3a48q7d3i5,1.253388,18-29,4-yr/post-graduate degree,White,Male,Republican,Midwest,Not very accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,337,2025-06-23,2024-106
pi03dg8o50wjx3tqfcksv21l,0.650692,18-29,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,470,2025-06-18,2024-106
886bnf2evfajbee94x3su58w,2.006758,50-64,HS or less,White,Female,Democrat,West,Not very accurate,Not very trustworthy,Extremely important,I would never participate in a phone survey,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,445,2025-07-17,2024-106
0l4vxcbaa8oszbrsj4wak7lf,0.324597,65+,4-yr/post-graduate degree,White,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,275,2025-07-09,2024-106
50pqfh05nhmcu113jl1udsyo,1.030167,30-49,4-yr/post-graduate degree,White,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Extremely important,I would never participate in a phone survey,Yes,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,336,2025-07-07,2024-106
o16kfluznjss3cqdzjphukvw,0.978204,50-64,4-yr/post-graduate degree,Hispanic,Female,Democrat,Northeast,Somewhat accurate,Not very trustworthy,Not very important,Not likely,No,Likely,It would not interest me,No,FALSE,FALSE,TRUE,481,2025-07-06,2024-106
iiiz9992gbacjq9nz5420d8z,0.864249,50-64,Some college/2-yr degree,White,Female,Independent,West,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,424,2025-07-13,2024-106
z0ijvcfqrr5o741og0z379fm,1.080868,18-29,4-yr/post-graduate degree,White,Male,Republican,Midwest,Not very accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,203,2025-07-14,2024-106
84jraan4oy1ygs2nn4cc8ej9,0.794288,30-49,4-yr/post-graduate degree,White,Male,Republican,Midwest,Not very accurate,Not very trustworthy,Not very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,156,2025-06-26,2024-106
