respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
9k3nz9cvwrjx99jyiibxu1g3,1.354726,30-49,4-yr/post-graduate degree,Black,Male,Republican,Northeast,Not at all accurate,Somewhat trustworthy,Not very important,Very likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,370,2025-07-12,2024-086
5urmmjkeo6rwc88ryiaol2y2,1.120818,30-49,HS or less,Hispanic,Female,Democrat,West,Not at all accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,410,2025-06-21,2024-086
epyljc9hhwfv6u3mvlazm31g,0.791263,65+,HS or less,White,Female,Democrat,West,Very accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,60,2025-06-28,2024-086
caug7op56xy8ms6e65t46qsm,1.008767,50-64,4-yr/post-graduate degree,White,Female,Republican,Northeast,Not at all accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,389,2025-06-19,2024-086
2bie0vnysu5o0bugqvy0s3ir,0.920683,30-49,HS or less,White,Female,Democrat,South,Somewhat accurate,Very trustworthy,Not very important,Somewhat likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,363,2025-06-19,2024-086
2o60d398uz1wdvzia73aoa7v,1.041172,30-49,Some college/2-yr degree,Hispanic,Male,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,392,2025-07-11,2024-086
82iwxid8470oaa643bk4cua5,1.223979,30-49,HS or less,White,Female,Republican,South,Not very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,355,2025-06-17,2024-086
n3r80xz3vbl29ax4i16q8chq,0.88231,65+,HS or less,White,Female,Independent,West,Somewhat accurate,Not at all trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,354,2025-07-13,2024-086
fx0tlmls6cvpn6rbblrk6n6v,0.695373,18-29,4-yr/post-graduate degree,White,Male,Democrat,West,Somewhat accurate,Very trustworthy,Not very important,Not likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,185,2025-07-02,2024-086
h37jjtj5r9nkuofq1ip8t1dm,0.756453,18-29,Some college/2-yr degree,Other,Male,Other or none,Midwest,Very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,301,2025-07-12,2024-086
i6b5wetn3ur701gtnp7pdh1r,0.709654,18-29,Some college/2-yr degree,White,Male,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,171,2025-06-22,2024-086
3v6ai2894iy5i3bpr3ya1iio,0.993751,18-29,Some college/2-yr degree,White,Male,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,No,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,200,2025-07-16,2024-086
34d73psljpi1hqlwwn6cwmyq,1.231711,30-49,HS or less,Black,Male,Independent,Midwest,Not very accurate,Very trustworthy,Somewhat important,Not likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,358,2025-06-23,2024-086
h72t30jdhrd50v7fdh5s4ml6,0.51928,18-29,Some college/2-yr degree,White,Female,Independent,Northeast,Somewhat accurate,Very trustworthy,Not at all important,Somewhat likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,TRUE,FALSE,97,2025-07-11,2024-086
p1av27ebdri5uv8ol79tgyhg,1.361492,30-49,HS or less,White,Female,Independent,Northeast,Not very accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,353,2025-07-02,2024-086
sll3shq5b7yqky3v5zfigniv,1.391734,65+,4-yr/post-graduate degree,White,Female,Democrat,South,Very accurate,Somewhat trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,241,2025-07-08,2024-086
3289xwjsup5gg45lwddqml49,0.951396,30-49,Some college/2-yr degree,White,Female,Republican,West,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,448,2025-06-20,2024-086
fjjlowfybnexneqbylp66cvo,1.294888,65+,HS or less,White,Male,Independent,South,Somewhat accurate,Not very trustworthy,Not very important,Not likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,343,2025-06-23,2024-086
jugic4tmikbkup719q7a43bq,1.105609,30-49,Some college/2-yr degree,White,Female,Other or none,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,372,2025-06-17,2024-086
olr3qtpwt3gmx0vpm09wh1wt,0.477271,50-64,Some college/2-yr degree,White,Male,Democrat,West,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,268,2025-06-28,2024-086
fbot0eflqh7u57blextqwqz1,0.96463,18-29,Some college/2-yr degree,White,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Very important,Not likely,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,402,2025-06-30,2024-086
q4po1r40pqfdxetf77wlsit3,0.800069,65+,HS or less,White,Female,Independent,Northeast,Somewhat accurate,Not at all trustworthy,Very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,431,2025-07-08,2024-086
8cra905x0xq4s6jni78x13nb,1.250877,65+,HS or less,White,Male,Republican,Midwest,Not very accurate,Not very trustworthy,Somewhat important,Somewhat likely,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,242,2025-06-30,2024-086
yu53x0rngu0oyacg2o8nuav2,0.819865,18-29,HS or less,White,Female,Democrat,South,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,458,2025-06-26,2024-086
x0tdtdcq33g1m29tb2s8uymr,1.285064,50-64,HS or less,Hispanic,Female,Democrat,Midwest,Very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,298,2025-07-09,2024-086
8gr1ocrkecomjlr4z0qoe8gc,1.112041,18-29,Some college/2-yr degree,White,Female,Republican,Midwest,Not very accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,318,2025-07-08,2024-086
vifaod2scwu6tnaz52you704,0.466706,50-64,HS or less,White,Male,Independent,West,Very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,337,2025-07-06,2024-086
qyy361imt0j0rh3nopafaqf2,1.081262,30-49,HS or less,Black,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,363,2025-06-17,2024-086
b0w9vsipb07ef7lo7r1n6ofe,1.17355,18-29,4-yr/post-graduate degree,White,Male,Democrat,South,Not at all accurate,Not very trustworthy,Not very important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,355,2025-07-12,2024-086
