respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
1bq27vtd8j3t4233lq1ok8s1,0.516768,65+,4-yr/post-graduate degree,White,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,488,2025-07-08,2024-051,Mobile
g6ln830ldlcrpzxdtwuzemn3,0.805953,30-49,HS or less,Other,Female,Republican,West,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,460,2025-06-25,2024-051,Tablet
lo88smpagk8fcho8td3k3az6,1.056998,50-64,HS or less,White,Female,Republican,West,Not at all accurate,Very trustworthy,Extremely important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,158,2025-06-20,2024-051,Desktop
co81c15vymvmp4z5tgxxym97,0.63605,30-49,4-yr/post-graduate degree,White,Male,Independent,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,368,2025-07-12,2024-051,Desktop
zivoq6daemltn18k9k2ve94u,0.990152,30-49,Some college/2-yr degree,White,Male,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,470,2025-07-09,2024-051,Tablet
66963046vryxlipx8jmgm6vy,0.824924,65+,4-yr/post-graduate degree,Black,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,295,2025-07-13,2024-051,Tablet
spmyas74si15vm21qhhdlj4n,1.065106,18-29,HS or less,White,Male,Republican,South,Not at all accurate,Very trustworthy,Not very important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,Yes,FALSE,TRUE,FALSE,87,2025-07-11,2024-051,Mobile
meacuipeo3n016v8s8m0fmvn,0.596312,50-64,HS or less,Hispanic,Female,Republican,South,Not very accurate,Not at all trustworthy,Not very important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,376,2025-06-27,2024-051,Tablet
wske5arx9v3h7qfzmmbtqftk,1.277956,18-29,HS or less,Black,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,491,2025-07-07,2024-051,Desktop
aoehlfma8bq9ht0je9s33d0p,0.837896,18-29,4-yr/post-graduate degree,Hispanic,Female,Republican,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,322,2025-06-24,2024-051,Tablet
