respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
n09bc53xjr2r9fshowx10onl,1.296898,18-29,Some college/2-yr degree,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,385,2025-06-27,2024-081
vzv88ojllg2pk9s0xdt92wsz,0.636175,50-64,HS or less,Hispanic,Male,Republican,West,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,253,2025-06-25,2024-081
es34d5wqv2mwg9deaqz3ehmd,1.202246,65+,Some college/2-yr degree,White,Female,Independent,West,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,314,2025-07-09,2024-081
ae2jl9q6mwf1b7wa6pm6djh9,0.537877,50-64,4-yr/post-graduate degree,White,Female,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,No,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,TRUE,101,2025-06-22,2024-081
hka51p04pdmnuqusywdfam97,0.478645,30-49,Some college/2-yr degree,Black,Male,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,190,2025-07-04,2024-081
h81894hv4mvwealvrwphyjzv,0.484545,65+,4-yr/post-graduate degree,White,Other,Democrat,West,Not very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,374,2025-07-05,2024-081
s8dd5mu7adplvu06vr6hifdj,0.687123,18-29,Some college/2-yr degree,Other,Male,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,TRUE,FALSE,FALSE,412,2025-07-04,2024-081
f8r17pfkpi5t4u5i79d2ykdw,0.326871,30-49,4-yr/post-graduate degree,White,Male,Republican,South,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,340,2025-07-10,2024-081
rpmxd1119zksvgg8jyr48cka,1.418118,65+,HS or less,White,Female,Democrat,South,Very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,269,2025-07-16,2024-081
hkpwhjq7e5w4ecoium7lnhyi,0.979075,30-49,HS or less,White,Female,Democrat,West,Somewhat accurate,Not at all trustworthy,Extremely important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,415,2025-06-19,2024-081
bnwg5ubp3k7z44l1xrjpbxz1,0.892245,50-64,4-yr/post-graduate degree,White,Male,Independent,West,Somewhat accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,405,2025-07-04,2024-081
dw7nwlpzltuvf57kl48lxyn9,1.542195,65+,Some college/2-yr degree,White,Female,Independent,West,Not very accurate,Not very trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,528,2025-07-08,2024-081
tgbdbjvx90q6flibp0a8cgb5,1.216868,65+,4-yr/post-graduate degree,White,Female,Republican,Northeast,Somewhat accurate,Not very trustworthy,Very important,Not likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,354,2025-06-26,2024-081
kpbocj02fs3ipiavv5nhw2k1,0.869812,30-49,4-yr/post-graduate degree,White,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,FALSE,121,2025-06-24,2024-081
i44h403vk3osbs3sqq9asc7z,0.534124,18-29,HS or less,White,Female,Republican,Midwest,Not very accurate,Not at all trustworthy,Not very important,I would never participate in a phone survey,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,449,2025-07-16,2024-081
ipe9y2cawbh0xy3fl4wj3853,1.159969,18-29,HS or less,Black,Male,Independent,Midwest,Not very accurate,Very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,379,2025-07-11,2024-081
