respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
ravdsqgun8mp8o65ra3qfjb0,0.810017,30-49,Some college/2-yr degree,Hispanic,Male,Independent,Northeast,Very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would not interest me,It depends on who is asking,TRUE,TRUE,FALSE,118,2025-07-03,2024-069
3j9wxn7okf5pz8zwnz64rwh8,1.168617,50-64,4-yr/post-graduate degree,White,Male,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,402,2025-07-02,2024-069
vafmsvevabkgrn0hxmjk07aq,1.187625,18-29,Some college/2-yr degree,White,Male,Republican,Midwest,Very accurate,Not very trustworthy,Somewhat important,Not likely,No,Very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,376,2025-07-08,2024-069
8tk3ssjdhn0vmfcbzbr3yfhg,1.090676,65+,Some college/2-yr degree,Hispanic,Female,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,293,2025-07-02,2024-069
baz0rgoh27uaii78ftvcgad1,0.811881,30-49,HS or less,White,Male,Independent,West,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,375,2025-07-02,2024-069
13yv4cuqv1vtrtpur4zcvg01,0.893025,50-64,HS or less,Black,Female,Independent,Midwest,Not at all accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,415,2025-07-01,2024-069
mmdcswmypbvojm82ky4a8trt,1.133207,30-49,4-yr/post-graduate degree,White,Female,Democrat,Midwest,Somewhat accurate,Very trustworthy,Somewhat important,Very likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,407,2025-07-14,2024-069
od6nnbj9ha0u2mprnqckgcg2,0.712759,18-29,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,164,2025-06-24,2024-069
5vn7f3l0m0vhhnyvj5lllglb,1.075594,18-29,HS or less,White,Male,Democrat,Northeast,Somewhat accurate,Not at all trustworthy,Very important,Somewhat likely,Yes,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,355,2025-07-13,2024-069
ervy83g6xtl7ve2bjf1qn7sg,0.898842,18-29,HS or less,White,Female,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,No,FALSE,TRUE,FALSE,60,2025-06-21,2024-069
7g6bnhvhidj0i0d98bk81uyd,0.750132,18-29,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,357,2025-07-11,2024-069
v5z7gfr1ylff51satgzrrsi5,1.302103,50-64,HS or less,White,Male,Republican,Midwest,Somewhat accurate,Very trustworthy,Extremely important,Very likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,101,2025-07-10,2024-069
6bt20b6c55vnyive25ov69gn,1.012996,50-64,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,403,2025-07-07,2024-069
lwxydr043o6y11akos9nufdu,0.985279,18-29,Some college/2-yr degree,White,Female,Independent,Northeast,Not at all accurate,Not very trustworthy,Not at all important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,257,2025-06-27,2024-069
l5lmz4xsevia7e3k5luc1bpj,1.137798,50-64,HS or less,White,Female,Independent,Midwest,Somewhat accurate,Not very trustworthy,Very important,Very likely,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,434,2025-07-17,2024-069
1mzlnde6tzp1athi1u8czefs,1.243178,65+,Some college/2-yr degree,Other,Male,Democrat,South,Not very accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,No,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,208,2025-06-25,2024-069
cw79h2hi0xerzy54bdk6cm5q,1.214199,18-29,HS or less,White,Male,Republican,Midwest,Not very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,346,2025-07-06,2024-069
aipcf89xdgeqcq0g7jzoj2fg,1.057697,30-49,Some college/2-yr degree,White,Female,Independent,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,499,2025-06-27,2024-069
n86oakvepq5g3onzpou856n9,0.795333,18-29,HS or less,Black,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,214,2025-07-03,2024-069
