respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
m1laq3zbupvfh8x9xfql1s1c,1.107077,50-64,4-yr/post-graduate degree,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,362,2025-07-05,2024-004,Desktop
eve9k5i29p53cs63gtftacr3,1.165617,65+,4-yr/post-graduate degree,Other,Female,Democrat,Northeast,Not very accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,No,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,335,2025-07-05,2024-004,Desktop
9wkqk84wetlzr3nu9p898lmo,0.791047,50-64,Some college/2-yr degree,Black,Female,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,372,2025-07-13,2024-004,Mobile
1onf0s3qrh85sfr6cu5lkk8c,1.17646,18-29,4-yr/post-graduate degree,White,Male,Republican,Midwest,Not at all accurate,Very trustworthy,Very important,Not likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,276,2025-07-01,2024-004,Tablet
eza9rnpfnpt2zr3ghtlozqoy,1.004388,50-64,Some college/2-yr degree,Black,Other,Independent,South,Somewhat accurate,Very trustworthy,Very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,148,2025-07-16,2024-004,Desktop
vv0lfzdbylljgxonb3wa4t98,1.378199,30-49,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Not at all important,Very likely,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,348,2025-07-11,2024-004,Desktop
s49dr2xwbm8sv93b7nnmgook,0.776525,50-64,Some college/2-yr degree,White,Female,Republican,West,Very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,Yes,TRUE,FALSE,FALSE,116,2025-06-21,2024-004,Mobile
86fcowc7f7ua74idlvcfyaug,0.76965,30-49,HS or less,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,396,2025-06-29,2024-004,Desktop
3gxre1atldgh9snw9to2sch1,1.134831,18-29,4-yr/post-graduate degree,White,Male,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,362,2025-07-03,2024-004,Tablet
ab2l0xnd1dwhceu2pi7frsj7,1.051065,18-29,4-yr/post-graduate degree,White,Male,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would not interest me,Yes,TRUE,FALSE,FALSE,324,2025-07-09,2024-004,Desktop
esnsilru8kgmp12npag0n5a8,0.861619,18-29,HS or less,Hispanic,Female,Democrat,Midwest,Somewhat accurate,Not at all trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,210,2025-06-23,2024-004,Tablet
2ys3dadttkaz2e5vxjgaudbv,0.699175,30-49,Some college/2-yr degree,Hispanic,Male,Democrat,South,Not at all accurate,Very trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would not interest me,Yes,FALSE,FALSE,TRUE,379,2025-06-25,2024-004,Desktop
qcx25nnjfi36j1ahlg0n4gas,1.051122,30-49,4-yr/post-graduate degree,Hispanic,Male,Independent,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,431,2025-06-25,2024-004,Mobile
vcz5goh5o1qn1fz9dr4lqv7z,1.105298,18-29,4-yr/post-graduate degree,Hispanic,Female,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,451,2025-06-18,2024-004,Desktop
zwosi62y2t4vczu8y33ciwmp,0.857001,30-49,HS or less,Hispanic,Male,Independent,South,Very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,378,2025-07-17,2024-004,Mobile
umsygo8hkfm3e0tttrnn295t,1.663095,30-49,HS or less,Other,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,287,2025-07-05,2024-004,Mobile
yodxtdqzkkz5vghqa69h1tpb,1.347835,30-49,Some college/2-yr degree,White,Male,Other or none,Midwest,Not very accurate,Not at all trustworthy,Somewhat important,Not likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,335,2025-06-18,2024-004,Tablet
lzxfj8dd9y0y1p4rgwf4s1cl,1.46275,50-64,HS or less,White,Male,Other or none,South,Very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,310,2025-06-22,2024-004,Desktop
g3wqy2f9ho9hfh99dvxm3bs9,1.362652,50-64,4-yr/post-graduate degree,White,Female,Other or none,South,Not very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,451,2025-06-25,2024-004,Mobile
yr1r0oscrxf4wevvt10k0oi6,1.118339,30-49,Some college/2-yr degree,Hispanic,Male,Republican,Midwest,Not very accurate,Not very trustworthy,Not very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,289,2025-06-25,2024-004,Desktop
9izo239boi6rxcfe02urtrz9,1.44472,30-49,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Not very trustworthy,Extremely important,Somewhat likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,480,2025-07-10,2024-004,Tablet
555c1wrrucvb4940wa2s1bnz,0.73928,65+,Some college/2-yr degree,White,Female,Democrat,Midwest,Somewhat accurate,Very trustworthy,Somewhat important,Not likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,417,2025-06-22,2024-004,Desktop
h06o4ehho5oury7s41wq8l8i,1.402853,18-29,Some college/2-yr degree,Black,Male,Independent,West,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,397,2025-06-21,2024-004,Mobile
