respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
2k8b9crww1lc4dz8h3mbcvur,0.899082,50-64,4-yr/post-graduate degree,Black,Male,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,274,2025-06-23,2024-107,Desktop
xncrmr6a8av45nmqyde2axy9,0.535099,30-49,4-yr/post-graduate degree,Other,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,232,2025-07-12,2024-107,Tablet
evt1jf9qpsdjjke65y65odu1,0.644216,30-49,HS or less,White,Male,Republican,South,Very accurate,Very trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,269,2025-06-28,2024-107,Desktop
ix2fc7xfcpbdnbfrl5osrls1,0.58242,30-49,Some college/2-yr degree,White,Male,Independent,West,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,492,2025-07-11,2024-107,Tablet
5vlus7b690c4424bff8ssxsm,0.843752,50-64,Some college/2-yr degree,White,Male,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,TRUE,106,2025-07-03,2024-107,Desktop
9bsgtrf3taehddrlkzkta8c8,0.84581,30-49,4-yr/post-graduate degree,White,Male,Republican,West,Very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,274,2025-07-08,2024-107,Tablet
lcm38n06pi1m4xsy1h1ek99i,0.930207,65+,Some college/2-yr degree,Black,Female,Independent,Northeast,Very accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,428,2025-07-02,2024-107,Mobile
cjlin5txnfaqkbeese6z3xfm,0.733067,50-64,HS or less,White,Male,Democrat,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,470,2025-06-24,2024-107,Mobile
3hdkz63jhi9xtzgfdo3j0lnw,0.75521,65+,Some college/2-yr degree,White,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Not at all important,Not likely,No,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,378,2025-06-22,2024-107,Mobile
yw7prn7xtya8fbh660ho5bhp,1.109279,65+,HS or less,White,Male,Independent,South,Somewhat accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,316,2025-06-22,2024-107,Tablet
p3tmt8vm6nn0l8u7p5mpdm0m,0.90207,65+,HS or less,Black,Male,Democrat,West,Very accurate,Not very trustworthy,Very important,Not likely,Yes,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,302,2025-07-15,2024-107,Tablet
x9e8x5unvq4k0vtqpm25xy2e,0.836001,18-29,Some college/2-yr degree,White,Male,Democrat,South,Not very accurate,Somewhat trustworthy,Not very important,I would never participate in a phone survey,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,227,2025-07-04,2024-107,Desktop
90j8ii8z1ph3gkgms8i1f0zp,0.859438,50-64,HS or less,Other,Male,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Extremely important,Very likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,339,2025-06-17,2024-107,Mobile
hxezpu0oh5mo7avhnhwn2mou,0.536927,30-49,Some college/2-yr degree,White,Female,Democrat,South,Very accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,258,2025-07-11,2024-107,Tablet
p0qlcuy74gzeosp98od6wo09,0.819271,50-64,HS or less,Hispanic,Female,Republican,Northeast,Not very accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,370,2025-06-29,2024-107,Desktop
d276qaapzarsbf395i6n1i6a,0.904411,50-64,HS or less,Hispanic,Female,Other or none,Midwest,Not very accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,156,2025-06-25,2024-107,Mobile
e2ccd98zqrgz9f9mb1p5m4fd,1.002899,30-49,HS or less,White,Female,Independent,Midwest,Not very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,422,2025-06-28,2024-107,Desktop
l3rx2k2kvtphqx8dq44h1y0g,0.826395,65+,Some college/2-yr degree,Hispanic,Male,Republican,Midwest,Very accurate,Not very trustworthy,Extremely important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,233,2025-07-16,2024-107,Tablet
o09p091um34dvzwzo8ms30fr,1.146587,30-49,Some college/2-yr degree,Hispanic,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,341,2025-07-04,2024-107,Mobile
